,user_address,0x4200000000000000000000000000000000000006,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,CR,log10_borrow
0,0xd7854FC91f16a58D67EC3644981160B6ca9C41B8,0.0005252250523017,0.0,0.0,0.0,0.999474774947698,0.0,1.857396920288422,1.5808112974424475
5,0x4AB14276AF9dF6E1CA74B172008C789241197952,1.0,0.0,0.0,0.0,0.0,0.0,1.7861844195606889,3.8312271613981097
22,0x9f88CE4eB5fbbDca7d911Fa75c6f8fBd95D2BBbc,1.0,0.0,0.0,0.0,0.0,0.0,1.961912935353051,4.035745761408895
23,0x3d40aC1fF6c11eA200a86E9bC761c244149ba5c0,1.0,0.0,0.0,0.0,0.0,0.0,1.468664856872864,3.754611635149993
65,0x793E92dD9aDE375eC813616325a2326cb60ED91F,1.0,0.0,0.0,0.0,0.0,0.0,1.6677904952246791,3.6467140235767888
84,0x3F7C10cBbb1EA1046a80B738b9Eaf3217410c7F6,0.1463094975150309,0.0,0.8303208163297975,0.0,0.0,0.0233696861551715,2.274040922137309,5.388368694437845
91,0x4903cb9e427DEd0e36598bc65c815052c98afEac,1.0,0.0,0.0,0.0,0.0,0.0,1.4604878541876034,5.033788561776062
173,0x310E989c73b58591BB61596972B5019354f8b668,1.0,0.0,0.0,0.0,0.0,0.0,1.3227500874060447,1.7787018349741006
178,0x5Daf884B73F6aB637D72bf09475a8455121614E6,1.0,0.0,0.0,0.0,0.0,0.0,3.661933463708976,4.492834653031924
182,0xb4fbd802d9dc5C0208346c311BCB6B9ECFF468C6,0.0,0.0,0.2558780890723935,0.0938101043725356,0.3944985148864956,0.2558132916685754,1.3807476228955935,4.777413919514173
201,0x85B3C124A704aE638622A1e99310F22eEE7279c6,0.0,0.0,0.8860648804206321,0.0,0.0,0.1139351195793678,1.6062976041490806,4.288952317991501
