,user_address,0x4200000000000000000000000000000000000006,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,CR,log10_borrow
7,0x13b2d56DE62F65Cfd389cB6a2F275c272D7C850E,0.0703263995691734,0.0,0.6092388416824472,0.0,0.2269255240988135,0.0935092346495657,1.6089816887857535,3.911257195196333
17,0xD3f85ADe70adF48ED17C8Cb182B8B1aFf542E51F,0.0008980040124238,0.0,0.999101995987576,0.0,0.0,0.0,2.178722886552265,4.067701306417288
23,0x3d40aC1fF6c11eA200a86E9bC761c244149ba5c0,1.0,0.0,0.0,0.0,0.0,0.0,1.468664856872864,2.544072017898096
37,0xC184C5768251F0A1dC2e7aEA24585f62D2381665,1.0,0.0,0.0,0.0,0.0,0.0,1.2635845122543492,6.291091680079997
39,0xE4c2D15df0c02c932d19d1D178E242aa23951e2e,0.0,0.0,0.0,0.0,1.0,0.0,1.686805862726226,3.873841524306576
61,0x0E61A5d840B883d234940c738cF49A2AeBfAf1C8,1.0,0.0,0.0,0.0,0.0,0.0,2.299904376969883,1.342713452183565
62,0xbc2337fc59bC693E6FFb282Ef4950478072c1A86,1.0,0.0,0.0,0.0,0.0,0.0,3.6013001791178745,1.4188935044703967
67,0x9C7A3e3eFd0CEC787C432535F27DE6C755fB4870,0.5282953672773079,0.0,0.465733141350928,0.0,0.005971491371764,0.0,1.4626234579166637,3.752525154458184
94,0x491fFC953E1aB2751817ff90A5f32694a4841474,1.0,0.0,0.0,0.0,0.0,0.0,1.3130755837610006,3.016703849690055
101,0xA67e311B9c5915998C86866652092c5dE332d7a8,0.0,0.0,0.5,0.0,0.0,0.5,2.456084632790564,1.559217244246858
107,0xB5584bFdb0f869F35764f975Da6C482E29e871c0,1.0,0.0,0.0,0.0,0.0,0.0,1.313223995723213,2.2667288853158607
143,0x174EC3Dd777A4d02fa2305a451141C3C151Cf65B,1.0,0.0,0.0,0.0,0.0,0.0,1.3732560330353372,1.4904228026650002
144,0x2bedB0F8d86c53f45A5ff38e4a2d33E1C0DA4515,1.0,0.0,0.0,0.0,0.0,0.0,1.4485416994417315,1.814341060643701
153,0x4d445C33dC304f07EDB34f00C90c4CB1Ab947FaC,1.0,0.0,0.0,0.0,0.0,0.0,1.9859105733827,3.375086495086311
160,0xa14208489e2e9Ba74f08636EbC5a03Fb0a4F6568,1.0,0.0,0.0,0.0,0.0,0.0,1.345885866559149,1.8236250910109748
163,0x0C9e20B9046f31DA1E84B1B968b5FFF23e815FD6,1.0,0.0,0.0,0.0,0.0,0.0,2.473375013619488,2.979509936175692
168,0x26DAc33aCcf8D28cf26CcC0135d8c6EE3233a2E7,0.0,1.0,0.0,0.0,0.0,0.0,1.4479957921761075,5.648919812187828
182,0xb4fbd802d9dc5C0208346c311BCB6B9ECFF468C6,0.0,0.0,0.2558780890723935,0.0938101043725356,0.3944985148864956,0.2558132916685754,1.3807476228955935,3.709505770650543
201,0x85B3C124A704aE638622A1e99310F22eEE7279c6,0.0,0.0,0.8860648804206321,0.0,0.0,0.1139351195793678,1.6062976041490806,3.926096528946698
252,0x9e67663C01e86C7bd8C3cd2285c681Dbad1C8327,1.0,0.0,0.0,0.0,0.0,0.0,1.37513610904419,6.718996877792788
286,0xbBf15e008535cB93A7e2168038DC316c56faf791,0.0,0.0,1.0,0.0,0.0,0.0,1.4980032450647212,3.7901453969595313
296,0x724EBE69AE66F5e5F731920dB39CC9235d3FF036,0.0,0.0,0.0,0.0,1.0,0.0,1.7568922508138471,1.461266525750284
299,0x184Af3b38035F80d8F7E16FaCbB4344B3db09368,1.0,0.0,0.0,0.0,0.0,0.0,2.9886139542061407,1.37466061164702
