block,position_count
2418127,1
2461327,1
2504527,12
2547727,39
2590927,42
2634127,46
2677327,48
2720527,46
2763727,42
2806927,44
2850127,45
2893327,48
2936527,44
2979727,42
3022927,38
3066127,38
3109327,38
3152527,40
3195727,41
3238927,41
3282127,39
3325327,51
3368527,77
3411727,60
3454927,117
3498127,69
3541327,125
3584527,79
3627727,161
3670927,113
3714127,135
3757327,137
3800527,231
3843727,146
3886927,219
3930127,135
3973327,136
4016527,145
4059727,150
4102927,252
4146127,250
4189327,247
4232527,251
4275727,251
4318927,251
4362127,253
4405327,251
4448527,254
4491727,256
4534927,260
4578127,162
4621327,164
4664527,165
4707727,163
4750927,176
4794127,265
4837327,270
4880527,271
4923727,275
4966927,272
5010127,264
5053327,261
5096527,261
5139727,260
5182927,255
5226127,254
5269327,257
5312527,255
5355727,258
5398927,259
5442127,260
5485327,262
5528527,258
5571727,260
5614927,256
5658127,258
5701327,260
5744527,259
5787727,262
5830927,268
5874127,286
5917327,284
5960527,287
6003727,291
6046927,289
6090127,292
6133327,294
6176527,294
6219727,293
6262927,294
6306127,300
6349327,306
6392527,300
6435727,302
6478927,309
6522127,306
6565327,306
6608527,209
6651727,208
6694927,305
6738127,306
6781327,307
6824527,318
6867727,320
6910927,322
6954127,328
6997327,332
7040527,336
7083727,335
7126927,333
7170127,337
7213327,339
7256527,340
7299727,346
7342927,344
7386127,347
7429327,346
7472527,344
7515727,343
7558927,351
7602127,352
7645327,358
7688527,357
7731727,361
7774927,364
7818127,264
7861327,216
7904527,219
7947727,220
7990927,224
8034127,232
8077327,231
8120527,233
8163727,230
8206927,229
8250127,222
8293327,221
8336527,220
8379727,231
8422927,234
8466127,228
8509327,228
8552527,229
8595727,231
8638927,232
8682127,231
8725327,228
8768527,231
8811727,229
8854927,234
8898127,232
8941327,232
8984527,233
9027727,237
9070927,233
9114127,234
9157327,239
9200527,244
9243727,246
9286927,247
9330127,250
9373327,253
9416527,254
9459727,258
9502927,261
9546127,262
9589327,262
9632527,276
9675727,317
9718927,278
9762127,279
9805327,273
9848527,269
9891727,270
9934927,265
9978127,263
10021327,269
10064527,266
10107727,272
10150927,273
10194127,278
10237327,275
10280527,277
10323727,273
10366927,274
10410127,275
10453327,275
10496527,279
