block,position_count
2418127,1
2461327,1
2504527,8
2547727,11
2590927,17
2634127,23
2677327,29
2720527,25
2763727,21
2806927,27
2850127,23
2893327,24
2936527,26
2979727,26
3022927,29
3066127,27
3109327,29
3152527,31
3195727,35
3238927,37
3282127,37
3325327,36
3368527,33
3411727,33
3454927,27
3498127,27
3541327,29
3584527,33
3627727,35
3670927,32
3714127,34
3757327,34
3800527,33
3843727,34
3886927,35
3930127,37
3973327,40
4016527,37
4059727,36
4102927,38
4146127,36
4189327,36
4232527,36
4275727,38
4318927,40
4362127,41
4405327,41
4448527,40
4491727,41
4534927,41
4578127,42
4621327,43
4664527,43
4707727,43
4750927,43
4794127,44
4837327,49
4880527,52
4923727,51
4966927,53
5010127,51
5053327,51
5096527,53
5139727,56
5182927,57
5226127,57
5269327,54
5312527,52
5355727,53
5398927,55
5442127,56
5485327,60
5528527,60
5571727,60
5614927,59
5658127,59
5701327,59
5744527,60
5787727,60
5830927,57
5874127,59
5917327,61
5960527,61
6003727,59
6046927,62
6090127,67
6133327,67
6176527,64
6219727,68
6262927,69
6306127,68
6349327,69
6392527,67
6435727,68
6478927,67
6522127,65
6565327,66
6608527,64
6651727,63
6694927,66
6738127,67
6781327,69
6824527,71
6867727,70
6910927,70
6954127,73
6997327,71
7040527,73
7083727,75
7126927,76
7170127,72
7213327,74
7256527,76
7299727,82
7342927,84
7386127,85
7429327,85
7472527,88
7515727,89
7558927,98
7602127,100
7645327,102
7688527,106
7731727,105
7774927,106
7818127,110
7861327,101
7904527,104
7947727,100
7990927,102
8034127,104
8077327,100
8120527,100
8163727,99
8206927,99
8250127,101
8293327,104
8336527,102
8379727,101
8422927,102
8466127,106
8509327,103
8552527,100
8595727,98
8638927,100
8682127,97
8725327,98
8768527,97
8811727,101
8854927,100
8898127,101
8941327,100
8984527,103
9027727,103
9070927,109
9114127,110
9157327,113
9200527,114
9243727,116
9286927,122
9330127,122
9373327,121
9416527,119
9459727,116
9502927,119
9546127,113
9589327,113
9632527,122
9675727,129
9718927,128
9762127,120
9805327,120
9848527,122
9891727,122
9934927,122
9978127,126
10021327,130
10064527,130
10107727,133
10150927,132
10194127,133
10237327,130
10280527,132
10323727,129
10366927,131
10410127,132
10453327,127
10496527,123
